,Price,Land,Location,Type
0,Rs. 220M,22 acres , Ekala ,Bare Land
1,Rs. 5M Per Perch,11.75 P , Nugegoda ,Land with house
2, ,1139 P ,  ,Cultivated Land
3, ,45 P , Kesbewa ,Bare Land
4,"Rs. 35,000 Per Perch",20 acres , Horana ,Bare Land
5,"Rs. 500,000 Per Perch",92 P , Panadura ,Bare Land
6,"Rs. 595,000 Per Perch",10 P , Veyangoda ,Bare Land
7,"Rs. 125,000 Per Perch",12.5 P , Divulapitiya ,Bare Land
8, ,37 P , Colombo 7 ,Land with house
9,Rs. 2.1M Per Perch,20 P , Hiriketiya ,Beachfront land
10,Rs. 1.5M Per Perch,90 P , Kandy ,Cultivated Land
11,Rs. 65M,5 acres , Marawila ,Coconut land
12,"Rs. 250,000 Per Perch",40 P ,2,Bare Land
13, ,10 acres , Matale ,Cultivated Land
14,Rs. 146M,225 P , Mawella ,Beachfront land
15,Rs. 12M Per Acre,3 acres , Kalpitiya ,Beachfront land
